Country Name,Country Code,Series,Series Code,1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.01784,..,..,..,..,..
Afghanistan,AFG,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.4171,..,..,..,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.25227,..,..,..,..,..,..,94.68181,..,..,95.69148,96.13607,..,..,..,..
Albania,ALB,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.18761,..,..,..,..,..,..,97.3062,..,..,98.00816,98.35261,..,..,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,35.83992,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.07508,..,..,..,63.91879,..,67.54875,..,..,..,..,..,..,..,..
Algeria,DZA,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,63.37743,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.18669,..,..,..,81.28404,..,82.61584,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.19449,..,..,..,..,..,..,..,..,..,..,..,..,53.40721,..,..
Angola,AGO,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.91987,..,..,..,..,..,..,..,..,..,..,..,..,79.97415,..,..
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.42,..,..,..,..,..,..,..,..,..,99.42,..,..,..,99.42,..
Antigua and Barbuda,ATG,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.4,..,..,..,..,..,..,..,..,..,98.4,..,..,..,98.4,..
Arab World,ARB,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,37.53049,38.59246,39.6297,40.73368,41.93895,43.12672,43.41931,44.56913,45.68163,47.51375,48.45022,49.87384,51.21185,52.73536,53.82067,55.24859,57.60603,58.91684,58.81217,58.69217,59.10822,60.44632,58.96982,60.23765,62.43845,66.09428,65.23873,67.73675,65.56704,67.35149
Arab World,ARB,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,63.798,64.6877,65.44161,66.26206,67.25409,67.93773,69.06322,69.58361,70.45636,71.45632,72.15028,73.11082,73.86504,74.31934,75.50509,76.34221,79.28657,79.82849,78.92235,76.96445,77.55345,78.09182,76.95943,77.51075,78.91648,82.10152,82.00065,83.10075,80.81003,81.74517
Argentina,ARG,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,95.917,..,..,..,..,..,..,..,..,..,97.19341,..,..,..,..,98.51077,..,..,99.00176,98.92807,98.99984,99.09995,99.09121,98.93282,99.20877,99.1431
Argentina,ARG,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,96.17406,..,..,..,..,..,..,..,..,..,97.1932,..,..,..,..,98.72719,..,..,98.96272,98.98532,99.22831,99.11113,99.15603,99.06125,99.14825,99.10499
Armenia,ARM,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,98.15014,..,..,..,..,..,..,..,..,..,..,..,99.16107,..,..,..,..,..,..,..,..,..,99.69035,..,..,..,..,..
Armenia,ARM,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,99.40385,..,..,..,..,..,..,..,..,..,..,..,99.67223,..,..,..,..,..,..,..,..,..,99.80608,..,..,..,..,..
Aruba,ABW,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,97.07136,..,..,..,..,..,..,..,..,..,96.71978,..,..,..,..,..,..
Aruba,ABW,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,97.5374,..,..,..,..,..,..,..,..,..,96.94053,..,..,..,..,..,..
Australia,AUS,"Adult literacy rate, population 15+ years, female (%)",SE.ADT.LITR.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Adult literacy rate, population 15+ years, male (%)",SE.ADT.LITR.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
